FID,disso,ORIG_FID,POINT_X,POINT_Y
0,0,0,741479.367005000010000,4653983.591079999700000
1,0,0,741598.004700000050000,4653806.668999999800000
2,0,0,741628.004700000050000,4653806.668999999800000
3,0,0,741628.004700000050000,4653776.668999999800000
4,0,0,741628.004700000050000,4653746.668999999800000
5,0,0,741654.137513000050000,4653728.622929999600000
6,0,0,741688.004700000050000,4653596.668999999800000
7,0,0,741731.891418999990000,4653558.860519999600000
8,0,0,741700.089660999950000,4653480.629689999900000
9,0,0,741388.004700000050000,4653386.668999999800000
10,0,0,741358.004700000050000,4653386.668999999800000
11,0,0,741358.004700000050000,4653356.668999999800000
12,0,0,741298.004700000050000,4653356.668999999800000
13,0,0,741268.004700000050000,4653356.668999999800000
14,0,0,741234.459778000020000,4653317.727850000400000
15,0,0,741028.004700000050000,4653296.668999999800000
16,0,0,740908.004700000050000,4653296.668999999800000
17,0,0,740768.082825000050000,4653286.590870000400000
18,0,0,740728.004700000050000,4653266.668999999800000
19,0,0,740608.004700000050000,4653266.668999999800000
20,0,0,740578.004700000050000,4653266.668999999800000
21,0,0,740548.004700000050000,4653266.668999999800000
22,0,0,740458.004700000050000,4653266.668999999800000
23,0,0,740051.349427000040000,4653253.328390000400000
24,0,0,739918.004700000050000,4653236.668999999800000
25,0,0,739738.004700000050000,4653236.668999999800000
26,0,0,739648.004700000050000,4653236.668999999800000
27,0,0,739558.004700000050000,4653236.668999999800000
28,0,0,739378.004700000050000,4653236.668999999800000
29,0,0,739305.758605999990000,4653218.922070000300000
30,0,0,739120.250793999990000,4653194.415930000100000
31,0,0,739108.004700000050000,4653176.668999999800000
32,0,0,739108.004700000050000,4652966.668999999800000
33,0,0,739108.004700000050000,4652936.668999999800000
34,0,0,739108.004700000050000,4652906.668999999800000
35,0,0,739130.695130000010000,4652808.731949999900000
36,0,0,739098.615052000040000,4652591.668999999800000
37,0,0,739129.113097999940000,4652385.365439999800000
38,0,0,739061.071105999990000,4652293.600300000000000
39,0,0,739048.004700000050000,4652246.668999999800000
40,0,0,739048.004700000050000,4652216.668999999800000
41,0,0,739011.325012000040000,4652123.368069999900000
42,0,0,739039.420716000020000,4651933.204800000400000
43,0,0,738971.876769999970000,4651881.061400000000000
44,0,0,738944.938293999990000,4651629.737700000400000
45,0,0,738890.592591000020000,4651539.651180000000000
46,0,0,738854.938293999990000,4651329.737700000400000
47,0,0,738791.071105999990000,4651243.600300000000000
48,0,0,738778.004700000050000,4651136.668999999800000
49,0,0,738818.082825000050000,4651116.394190000400000
50,0,0,738795.201966000020000,4650980.542519999700000
51,0,0,738748.004700000050000,4650956.668999999800000
52,0,0,738712.511535999950000,4650872.162850000000000
53,0,0,738675.758605999990000,4650728.922190000300000
54,0,0,738640.250793999990000,4650644.415810000200000
55,0,0,738628.004700000050000,4650596.668999999800000
56,0,0,738628.004700000050000,4650566.668999999800000
57,0,0,738628.004700000050000,4650536.668999999800000
58,0,0,738614.586730999990000,4650470.237420000100000
59,0,0,738548.082825000050000,4650436.590880000000000
60,0,0,738538.004700000050000,4650386.668999999800000
61,0,0,738555.011535999950000,4650250.591420000400000
62,0,0,738504.679505000010000,4650164.987789999700000
63,0,0,738464.659972999940000,4650070.009610000100000
64,0,0,738358.077942000000000,4649936.730800000000000
65,0,0,738377.750793999990000,4649778.456720000100000
66,0,0,738254.659972999940000,4649680.009610000100000
67,0,0,738208.004700000050000,4649666.668999999800000
68,0,0,738195.758605999990000,4649558.921959999900000
69,0,0,738130.250793999990000,4649474.416039999600000
70,0,0,738105.758605999990000,4649348.921959999900000
71,0,0,738070.250793999990000,4649294.416039999600000
72,0,0,738039.620910999950000,4649175.048670000400000
73,0,0,737968.004700000050000,4649156.668999999800000
74,0,0,737956.505677000040000,4649031.202840000400000
75,0,0,737908.004700000050000,4649006.668999999800000
76,0,0,737908.004700000050000,4648976.668999999800000
77,0,0,737878.004700000050000,4648976.668999999800000
78,0,0,737812.848450000050000,4648878.079520000100000
79,0,0,737775.758605999990000,4648778.921959999900000
80,0,0,737758.004700000050000,4648766.668999999800000
81,0,0,737704.567200000050000,4648660.106650000400000
82,0,0,737638.004700000050000,4648646.668999999800000
83,0,0,737638.004700000050000,4648616.668999999800000
84,0,0,737608.004700000050000,4648616.668999999800000
85,0,0,737608.004700000050000,4648556.668999999800000
86,0,0,737597.926575000050000,4648506.747130000000000
87,0,0,737578.004700000050000,4648466.668999999800000
88,0,0,737554.435364000030000,4648420.080099999900000
